2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
2402000000	-3.1415926536	-17.7107271810809	-24.0584918032714	-18.8563164467041	0.0719759146434974	3.10573084211431
2402000000	-3.089232776	-19.3370563948783	-20.2665270756908	-26.4889925621542	-0.175998283888897	-2.62401742429278
2402000000	-3.0368728985	-16.8471694144496	-17.2584310017902	-27.2878392587546	-0.356329339727383	-0.792434538842714
2402000000	-2.9845130209	-14.3904077078689	-15.6009122171923	-20.5297896055241	-0.46930716318101	0.0393584536551546
2402000000	-2.9321531434	-12.3427625982624	-15.0291289893103	-15.7031194059327	-0.566984537035188	0.58199895506444
2402000000	-2.8797932658	-9.9271671318778	-15.0064109860372	-11.5418875192748	-0.679750568095281	0.975880666935503
2402000000	-2.8274333882	-7.45008695080978	-14.9426940538485	-8.30206048561952	-0.805545575172965	1.23637989274805
2402000000	-2.7750735107	-5.58000823154743	-14.5270537529468	-6.17204016520922	-0.913022646527902	1.40723356351536
2402000000	-2.7227136331	-4.62392929012719	-13.9194306517383	-5.16733099603839	-0.978662084451652	1.5236986951159
2402000000	-2.6703537556	-4.67189244837332	-13.4693912972554	-5.28620296882173	-1.01169723639174	1.6098054041522
2402000000	-2.617993878	-5.81026632631901	-13.4336333833389	-6.63441086018534	-1.03569164199855	1.68780851576359
2402000000	-2.5656340004	-8.23052399637959	-13.9337392945268	-9.59107864632266	-1.07244198332186	1.79736452981558
2402000000	-2.5132741229	-12.1822815692589	-14.9992063394946	-15.3949698712343	-1.13737925979928	2.10208177141668
2402000000	-2.4609142453	-14.9425028578393	-16.6531077027283	-19.8161136516815	-1.24128031660215	-2.69156245390083
2402000000	-2.4085543678	-11.2995993008075	-19.0956099933567	-12.088517922477	-1.39690713122846	-1.94207911342078
2402000000	-2.3561944902	-7.64278738104132	-22.9702394846659	-7.7720540032181	-1.66686512146219	-1.75869048338424
2402000000	-2.3038346126	-5.24169016930881	-28.8822006994946	-5.26051252760715	-2.47245328550142	-1.65908716346161
2402000000	-2.2514747351	-3.70517827727654	-25.0905423716933	-3.7368616281063	2.46581337756417	-1.58489503888673
2402000000	-2.1991148575	-2.78522574652424	-19.1755393901024	-2.88610154233205	2.05042858140929	-1.52692274081506
2402000000	-2.14675498	-2.34806512581984	-15.4312537339653	-2.56702650626428	1.86180028684301	-1.48511505787134
2402000000	-2.0943951024	-2.30034204041759	-12.8182157307803	-2.70400974501191	1.73043640861364	-1.45883350130687
2402000000	-2.0420352248	-2.55074320591491	-10.8235658367382	-3.2506277817613	1.62495640034871	-1.44298614904623
2402000000	-1.9896753473	-2.99107553446367	-9.21191919261714	-4.17571546200814	1.54026551030102	-1.42655262105404
2402000000	-1.9373154697	-3.50689922292686	-7.89678769788629	-5.47181173353537	1.47451143852419	-1.39179424650126
2402000000	-1.8849555922	-3.99191007280868	-6.87033872174932	-7.1382112728829	1.42212449405868	-1.31296319931317
2402000000	-1.8325957146	-4.359375339489	-6.14456883487978	-9.0824295762148	1.37399757276901	-1.15208088068719
2402000000	-1.780235837	-4.55749118939864	-5.72700226326726	-10.8269319805436	1.32070609685708	-0.865414469284043
2402000000	-1.7278759595	-4.56199637978633	-5.59713459288706	-11.2971498593826	1.25549107800228	-0.483024391977989
2402000000	-1.6755160819	-4.3846560016275	-5.72798563919293	-10.1350388571224	1.17725470441444	-0.167345245962171
2402000000	-1.6231562044	-4.0607713660201	-6.09674851574004	-8.32917713134868	1.08937241158625	-0.0032715771616281
2402000000	-1.5707963268	-3.64676367563447	-6.71122853780622	-6.60356595459741	0.997689305766714	0.0482067342344469
2402000000	-1.5184364492	-3.21291655581028	-7.61210459077047	-5.1725173571437	0.906635015344747	0.0372490543673821
2402000000	-1.4660765717	-2.8384563321548	-8.85483490096033	-4.089251725366	0.81597686418328	-0.0047845911917079
2402000000	-1.4137166941	-2.59537710881778	-10.4750493501318	-3.36782107515155	0.723480252030745	-0.0617257100376329
2402000000	-1.3613568166	-2.53971261980285	-12.4795616418185	-3.00402268542225	0.631889378932984	-0.12609382143379
2402000000	-1.308996939	-2.70769988306067	-14.8917825412096	-2.97862668198146	0.561613464517766	-0.193830758856047
2402000000	-1.2566370614	-3.14041025224724	-17.8230133051546	-3.29073080172528	0.572459813818051	-0.260743521727116
2402000000	-1.2042771839	-3.9028014271273	-21.2393344382373	-3.98374303081504	0.812885731353151	-0.321250304313309
2402000000	-1.1519173063	-5.12874142817277	-22.5884043849888	-5.20739980834201	1.4512202683879	-0.367553032774899
2402000000	-1.0995574288	-7.03954201352041	-19.5404351917599	-7.29084613477518	1.97154092968258	-0.387169506083792
2402000000	-1.0471975512	-9.87186198313323	-16.2171859100028	-11.0181882274321	2.16477388256533	-0.340517398271665
2402000000	-0.9948376736	-12.6057594560634	-13.7730271766267	-18.8824674307447	2.22357451318769	0.0762452074643391
2402000000	-0.9424777961	-10.7394997675457	-12.0072549590359	-16.7054577585649	2.23190938661556	1.89096710367479
2402000000	-0.8901179185	-6.8143023481137	-10.7275183155735	-9.07747965525748	2.22598878732771	2.18790543104808
2402000000	-0.837758041	-3.73744343710544	-9.84648796419608	-4.95774505029214	2.2270981283742	2.24484633692266
2402000000	-0.7853981634	-1.51525174278299	-9.3854171527885	-2.28954873308341	2.24806797727706	2.26596790018971
2402000000	-0.7330382858	0.0863716611518786	-9.4011149409622	-0.432069999053894	2.29709550500265	2.28523648690441
2402000000	-0.6806784083	1.21260905361582	-9.95522308339402	0.867346181200752	2.37977712236242	2.31349964164286
2402000000	-0.6283185307	1.93147732271282	-11.0816465940001	1.70886195422525	2.50131502933355	2.35451011006954
2402000000	-0.5759586532	2.25601174268978	-12.7701746579092	2.11730987553881	2.6701631005135	2.40986100024173
2402000000	-0.5235987756	2.16377350262086	-14.9650147346395	2.07882692361558	2.89397869988879	2.48209593219737
2402000000	-0.47123889804	1.62957095494143	-17.6287716276969	1.57774602511327	-3.10463310186379	2.5784322455053
2402000000	-0.41887902048	0.652647413333684	-20.9014742001644	0.622175842877476	-2.74198858623488	2.71346288506631
2402000000	-0.36651914292	-0.635818075898246	-25.2015553082354	-0.651022521479812	-2.19696991409079	2.91227325053383
2402000000	-0.31415926536	-1.81479368716192	-28.4468203320576	-1.82423546223083	-1.09532194812638	-3.08570133883174
2402000000	-0.2617993878	-2.18608379605082	-24.2515542954412	-2.21316016207118	-0.0662860028647696	-2.74163077467777
2402000000	-0.20943951024	-1.53351885409817	-19.7055173234323	-1.60018626215419	0.412050659696104	-2.43517025619818
2402000000	-0.15707963268	-0.422298122461913	-16.4327652432909	-0.532512091789019	0.709496662792507	-2.22682256582494
2402000000	-0.10471975512	0.61212642359994	-14.0543984209101	0.461238536050316	0.929615165423116	-2.10409260640624
2402000000	-0.05235987756	1.34714923329303	-12.3979283222511	1.15981832748156	1.09782932311133	-2.03483524863036
2402000000	0	1.70078700386149	-11.3992295940414	1.48269403371971	1.22233954507303	-1.9929583179264
2402000000	0.05235987756	1.62883619402287	-11.0394435182482	1.38730288197602	-1.83261557578507	1.18285055292886
2402000000	0.10471975512	1.07586154771366	-11.272096301869	0.815274558312035	-1.77806440373391	1.22664555728409
2402000000	0.15707963268	-0.032464945205242	-11.9931803158516	-0.318171218188076	-1.74685344837821	1.29922203339738
2402000000	0.20943951024	-1.69359962127028	-13.0565140364165	-2.02310615763053	-1.72444378166182	1.43200540665486
2402000000	0.2617993878	-3.68861086354544	-14.2790989696987	-4.08527005141358	-1.68761480789534	1.67194608454169
2402000000	0.31415926536	-5.21040770730974	-15.4720713418041	-5.63985865700729	-1.60871634650206	2.04189179054687
2402000000	0.36651914292	-5.39818170526603	-16.4438694547443	-5.75370702980901	-1.46808825031936	2.41973396356278
2402000000	0.41887902048	-4.79406177540588	-16.9540552973299	-5.06654378208198	-1.26935659268529	2.64861008041986
2402000000	0.47123889804	-4.31240957194472	-16.8029558700132	-4.56433085468853	-1.04669720825955	2.72250970453857
2402000000	0.5235987756	-4.22165380734785	-16.0244355582688	-4.51831077602122	-0.845835451608513	2.68531832154808
2402000000	0.5759586532	-4.40911048555084	-14.8885918205201	-4.81653598499338	-0.691041960929512	2.56856043743537
2402000000	0.6283185307	-4.66282009434245	-13.6980611711163	-5.24211974580227	-0.576456392716498	2.39900512327611
2402000000	0.6806784083	-4.848033094301	-12.7200086068348	-5.62197689478628	-0.482604517587037	2.20528075411023
2402000000	0.7330382858	-4.96609869925264	-12.1254363748339	-5.89380490537731	-0.385681537919266	2.0169018757383
2402000000	0.7853981634	-5.10915596284239	-11.9983960407924	-6.10373842714082	-0.265986734200369	1.85908123031647
2402000000	0.837758041	-5.3859430855683	-12.3038048196081	-6.37319001353569	-0.105740123669066	1.75256681785662
2402000000	0.8901179185	-5.87430154319559	-12.8333354336084	-6.85110216544736	0.107168261166647	1.71637825666388
2402000000	0.9424777961	-6.5872148223108	-13.2494318987086	-7.6421950819772	0.36505495517795	1.77296658680429
2402000000	0.9948376736	-7.35245673597058	-13.2532161356922	-8.64253724928975	0.629979717815626	1.95331174188735
2402000000	1.0471975512	-7.69504969214265	-12.8662329562019	-9.26899263207796	0.856683468500069	2.2730532583039
